x= 0.017623405903577805,y= 0.04911794885993004
x= 0.017709285020828247,y= 0.04906691610813141
x= 0.01779446378350258,y= 0.048977743834257126
x= 0.03138533607125282,y= 0.04478655010461807
x= 0.031231604516506195,y= 0.04476618394255638
x= 0.031094644218683243,y= 0.04472081735730171
x= 0.04188947007060051,y= 0.040940094739198685
x= 0.041498590260744095,y= 0.04105117917060852
x= 0.04112470522522926,y= 0.041159071028232574
x= 0.05196898803114891,y= 0.03843801096081734
